id,Nome,Description
5083,Soul of Manus,"Soul of Manus, Father of the Abyss. This extraordinary soul is a viscous, lukewarm lump of gentle humanity.  Ancient Manus was clearly once human. But he became the Father of the Abyss after his humanity went wild, eternally seeking his precious broken pendant."
5084,Large Ember,"Ember required for weapon ascension. A large, high-quality ember. Handled by the blacksmiths of Astora.  Ascension for +5 standard weapon. Allows reinforcement to +10.  Also, can ascend +5 std wpn to raw wpn. (raw weapon can be reinforced to +5)"
5085,Very Large Ember,"Ember required for weapon ascension. Huge ember of highest quality. Handled by the blacksmiths of Astora.  Ascension for +10 standard weapon. Allows reinforcement to +15, on par with the greatest weapons of legend."
5086,Crystal Ember,"Ember required for weapon ascension. Crystal ember created by Seath the Scaleless. Handled only by the giant God's blacksmiths.  Ascends +10 standard wpn to crystal weapon. (crystal weapon can be reinforced to +5)  Crystal weapons are powerful but brittle, and cannot be repaired once broken."
5087,Large Magic Ember,"Ember required for weapon ascension. Large magic ember, a form of sorcery. Handled only by the Vinheim magic blacksmiths.  Ascends +5 magic weapon. Allows reinforcement to +10, the most powerful level for magic weapons."
5088,Enchanted Ember,"Ember required for weapon ascension. This enchanted ember, a form of sorcery, is a vestige of the lost land of Oolacile.  Ascends +5 magic wpn to enchanted weapon. (enchanted weapon can be reinforced to +5)  The sorcerer's enchanted weapon that inflicts magic damage and is boosted by intelligence."
5089,Divine Ember,"Ember required for weapon ascension. Divine embers are property of the church, and intended for divine blacksmiths.  Ascends +5 standard wpn to divine weapon. (divine weapon can be reinforced to +5)  Divine weapons are for Undead hunting. Use against Undead and the pawns of necromancers."
5090,Large Divine Ember,"Ember required for weapon ascension. Large divine ember, of secret church rites. Intended for select divine blacksmiths.  Ascends +5 divine weapon. Allows reinforcement to +10, on par with the very weapons of the Gods."
5091,Dark Ember,"Ember required for weapon ascension. The church long hid the forbidden black ember, and no living blacksmith knows of it.  Ascends +5 divine weapon to occult weapon. (occult weapon can be reinforced to +5)  Occult weapons were used to hunt the Gods, and are effective against their followers and kin."
5092,Large Flame Ember,"Ember required for weapon ascension. Large flame ember used in ancient rites. Handled only by blacksmiths knowledgeable in ancient methods.  Ascends +5 fire weapon. Allows reinforcement to +10, the most powerful level for fire weapons."
5093,Chaos Flame Ember,Ember required for weapon ascension. Chaos Flame Ember is an art of the lost city of Izalith. Handled only by blacksmiths knowledgeable in ancient methods.  Ascends +5 flame weapon to chaos weapon. (chaos weapon can be reinforced to +5) Chaos weapons are demon weapons augmented by humanity which inflict fire damage.
5094,Titanite Shard,Titanite shard for weapon reinforcement. Most common titanite material. Reinforces standard weapons to +5.  Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce.
5095,Large Titanite Shard,"Titanite shard for weapon reinforcement. Larger titanite material. Reinforces standard weapons to +10, and raw weapons to +5.  Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce."
5096,Green Titanite Shard,"Titanite shard for weapon reinforcement. Green titanite imbued with a special power. Reinforces magic, divine, and fire weapons to +5.  Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce."
5097,Titanite Chunk,"Titanite chunk for weapon reinforcement. Not found outside of Lordran. Reinforces standard weapons to +14, and crystal, lightning weapons to +4.  With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
5098,Blue Titanite Chunk,"Titanite chunk for weapon reinforcement. Blue titanite has powerful magic energy. Reinforces magic weapons to +9, and enchanted weapons to +4.  With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
5099,White Titanite Chunk,"Titanite chunk for weapon reinforcement. White titanite has powerful miracle energy. Reinforces divine weapons to +9, and occult weapons to +4.  With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
5100,Red Titanite Chunk,"Titanite chunk for weapon reinforcement. Red titanite has powerful fire energy. Reinforces fire weapons to +9, and chaos weapons to +4.  With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
5101,Titanite Slab,"Titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces standard weapons to +15, and crystal or lightning weapons to +5.  Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
5102,Blue Titanite Slab,"Blue titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces magic weapons to +10, and enchanted weapons to +5.  Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
5103,White Titanite Slab,"White titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces divine weapons to +10, and occult weapons to +5.  Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
5104,Red Titanite Slab,"Red titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces fire weapons to +10, and chaos weapons to +5.  Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
5105,Dragon Scale,"Dragon scale for reinforcing dragon weapons. Peeled from an ancient dragon.  A dragon is inseparable from its scales, and the transcendent apostles, who seek the perpetuity of the ancient dragons, have crossed the very end of the earth to seek this invaluable treasure."
5106,Demon Titanite,"Special titanite stolen from a faceless stone beast known as a Titanite Demon.  When the nameless blacksmith deity passed, from several Slabs, great beasts arose. The power of titanite remains within them, and they still roam Lordran today."
5107,Twinkling Titanite,"This weapon-reinforcing titanite is imbued with a particularly powerful energy. Reinforces weapons that cannot be reinforced normally to +5.  After this titanite was peeled from its Slab, it is said that it received a special power, but its specific nature is not clear."
5108,Basement Key,"Opens the narrow passage leading below at the far face of the great bridge in the Undead Burg.  The lower Undead Burg is a treacherous place. Do not turn your back on the wily thieves, or the wild dogs who serve the Capra Demon."
5109,Crest of Artorias,"This crest opens a door in the Darkroot Garden sealed by ancient magic.  The door leads to the grave of Sir Artorias the Abysswalker. Many adventurers have left for the grave, but none have returned, for they make easy prey for local bandits. With such dangers, the crest can do more harm than good in the hands of the uninitiated."
5110,Cage Key,"Key to the hanging cage in Sen's Fortress.  If a hapless adventurer becomes fatigued during an imprudent attempt to overcome the fortress, the serpent men will not kill him, but lock him up in a lonely cage. Eventually, unless they have forgotten, they drag the victim off to who-knows-where."
5111,Archive Tower Cell Key,"Key to the cell of the Duke's Archive Tower.  The Archive Tower, once a trove of precious tomes and letters, became a prison after the onset of Seath's madness. The serpent men who guard the prison know not the value of what they hide. In the basement of the tower are the writhing ""mistakes"" of the terrifying experiments which were conducted there."
5112,Archive Tower Giant Door Key,"Key to the giant door leading out from the uppermost floor of Archive Tower, which now serves as a prison.  The key's design resembles not the key of a prison; indeed, the tower was once no prison at all, but a trove of precious tomes."
5113,Archive Tower Giant Cell Key,"Key to the giant cell below the Duke's Archive Tower.  The giant cell once imprisoned countless maidens, but is now empty, save for a few key persons. They struggle to uphold their sanity, as the horde of ""mistakes"" writhe at a fearfully close proximity."
5114,Blighttown Key,"Key to Blighttown from the Depths of the Undead Burg. Swallowed by the Gaping Dragon.  As its name suggests, Blighttown is a place of great pestilence. Even the polluted inhabitants of the Depths are aware of its dangers, and built this mighty door in hopes that they could remain safely separated."
5115,Key to New Londo Ruins,"Key to the iron bars separating the ruins of New Londo and Drake Valley.  The ruins of New Londo were blocked off, for the cursed ghosts posed danger to life and spirit, and the legends speak of a terrible Dark which was sealed away."
5116,Annex Key,"Key to the annex in the Painted World of Ariamis.  In the wintery painted world, there is a structure resembling an old cathedral; its annex serves as a type of storehouse."
5117,Dungeon Cell Key,"Key to the dungeon of the Undead Asylum to the North.  A mysterious knight, without saying a word, shoved a corpse down into the cell, and on its person was this key. Who was this knight? And what was his purpose? There may be no answers, but one must still forge ahead."
5118,Big Pilgrim's Key,Key to the inner door of the Undead Asylum main hall. Big key belonging to a chosen Undead pilgrim.  But this Chosen Undead knows not what this pilgrimage has in store.
5119,Undead Asylum F2 East Key,"Key to the iron bars on the east side of the second floor of the North Undead Asylum.  The Undead Asylum is a giant Undead prison, segmented by countless iron bars.  Even if an Undead were to escape from a cell, passage to the outside world would not be gained easily."
5120,Key to the Seal,"Key to the floodgates of New Londo, which seal away the Four Kings who fell to Dark.  The Sealers flooded New Londo to banish the Darkwraiths and the Four Kings. The agonizing decision was made with the realization that countless lives, and the robust culture of the city, would be lost. The victims now roam the ruins as ghosts."
5121,Key to Depths,"Key opening the door from the lower Undead Burg to the Depths.  Those banished from the Undead Burg eke out their existence in the Depths, a damp lair with no trace of sunlight. Nearly half of the Depths form a perilous flooded labyrinth."
5122,Undead Asylum F2 West Key,"Key to the iron bars on the west side of the second floor of the North Undead Asylum.  The Undead Asylum is a giant Undead prison, segmented by countless iron bars.  But even if a hero found a key in Lordran to liberate this prison, would he have the means, or the heart, to ever come back?"
5123,Mystery Key,The purpose of this key is unknown. It appears to be a basic prison cell key.
5124,Sewer Chamber Key,"Key to the sewer chamber in the Depths.  In any community, a few bad apples are sure to exhibit insatiable greed. If they were turned Undead, and banished to the Depths, would they reconsider their ways?  Use this key to see for yourself."
5125,Watchtower Basement Key,"Key to the basement of the watchtower in the Undead Burg.  The basement of the watchtower forms a stone cell. There are rumors of a hero turned Hollow who was locked away by a dear friend. For his own good, of course."
5126,Archive Prison Extra Key,"Extra key to a cell in the Duke's Archive Tower.  Perhaps the serpent men were careless, for there are several keys scattered about which fit Archive Tower cells."
5127,Residence Key,"Key to a residence in the Undead Burg. Simple, sturdy design of the locks in the Burg keep out unwanted visitors.  But this is a standard key in these parts, and will open several residences."
5128,Crest Key,"Bent Crest Key.  The grooves of the crest are enchanted, the door sealed with a powerful spell."
5129,Master Key,"This universal key opens any basic lock. Tool of the trade for thieves.  But in the cursed land of the Undead, most doors are better left unopened."
5130,Lord Soul,"Soul of Gravelord Nito, first of the dead. This Lord Soul was discovered at the dawn of the Age of Fire.  Gravelord Nito administers the death of all manner of beings. The power of this soul is so great that it satiates the Lordvessel, despite the fact that much of its energy has already been offered to death."
5131,Lord Soul,"Soul of the Bed of Chaos and the mother of all demons. This Lord Soul was found at the dawn of the Age of Fire.  The Witch of Izalith attempted to duplicate the First Flame from a soul, but instead created a distorted being of chaos and fire. Its power formed a bed of life which would become the source of all demons, and is more than enough to satiate the Lordvessel."
5132,Bequeathed Lord Soul Shard,"Soul of one of the Four Kings, who fell to Dark. A fragment of a Lord Soul discovered at the dawn of the Age of Fire.  Lord Gwyn recognized the foresight of these four great leaders of New Londo, and granted them their ranks and the fragments of a great soul. Although this is not a full Lord Soul, it can still satiate the Lordvessel."
5133,Bequeathed Lord Soul Shard,"Soul of the albino Seath the Scaleless. A fragment of a Lord Soul discovered at the dawn of the Age of Fire.  Seath allied with Lord Gwyn and turned upon the dragons, and for this he was awarded Dukedom, embraced by the royalty, and given a fragment of a great soul. Although just a piece, it will still satiate the Lordvessel."
5134,Lordvessel,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn. The chosen Undead is granted the art of warping between bonfires.  To open the final door, place this vessel on the Firelink Altar, and fill it with powerful souls."
5135,Broken Pendant,"Half of a broken stone pendant. The vine appears to originate from Oolacile.  A powerful magic can be sensed from this ancient stone. Yet men of this time can neither manipulate nor sense its power, which has a distinct air consisting of both reverence and nostalgia."
5136,Weapon Smithbox,Tool used to etch titanite into weapons for reinforcement.  Rest at a bonfire to make weapon reinforcement possible.
5137,Armor Smithbox,Tool used to etch titanite into armor for reinforcement.  Rest at a bonfire to make armor reinforcement possible.
5138,Repairbox,"Specialized mortar used to repair weapons and armor by grinding repair powder.  Rest at a bonfire to make weapon and armor repair possible. Repair powder is fragile, and cannot be taken along."
5139,Rite of Kindling,"This secret rite allows bonfires to be bolstered further with Kindling, so that even more Estus can be collected.  Kindling was a sacred rite passed down among clerics, but all Undead can imitate the process, in the same manner that they restore their Hollowing with humanity. How peculiar that humans had found little use for humanity until they turned Undead."
5140,Bottomless Box,"A peculiar bottomless wooden box. Its origins are unknown. Some deride it as a symbol of unbridled avarice.  Any number of items can be deposited into the box, and items can be managed while resting at a bonfire."
